x,y,t,v,l,c
23.465991986061674,60.739717122820565,1518,4,45.0,45
23.465991986061674,60.739717122820565,1519,4,45.0,45
23.465991986061674,60.739717122820565,1520,4,45.0,45
23.465991986061674,60.739717122820565,1521,4,45.0,45
23.465991986061674,60.739717122820565,1522,4,45.0,45
23.465991986061674,60.739717122820565,1523,4,45.0,45
23.465991986061674,60.739717122820565,1524,4,45.0,45
23.465991986061674,60.739717122820565,1525,4,45.0,45
23.465991986061674,60.739717122820565,1526,4,45.0,45
23.465991986061674,60.739717122820565,1527,4,45.0,45
23.465991986061674,60.739717122820565,1528,4,45.0,45
23.465991986061674,60.739717122820565,1529,4,45.0,45
23.465991986061674,60.739717122820565,1530,4,45.0,45
23.465991986061674,60.739717122820565,1531,4,45.0,45
23.464981844302223,60.74171139076456,1532,4,45.0,45
23.462347837106783,60.74691156793272,1533,4,45.0,45
23.459713829911344,60.75211174510088,1534,4,45.0,45
23.457079822715905,60.75731192226904,1535,4,45.0,45
23.454445815520465,60.7625120994372,1536,4,45.0,45
23.451811808325026,60.767712276605366,1537,4,45.0,45
23.449177801129586,60.77291245377353,1538,4,45.0,45
23.446543793934147,60.77811263094169,1539,4,45.0,45
23.443909786738708,60.783312808109855,1540,4,45.0,45
23.441275779543265,60.78851298527802,1541,4,45.0,45
23.438641772347825,60.79371316244618,1542,4,45.0,45
23.436007765152386,60.798913339614344,1543,4,45.0,45
23.433373757956947,60.80411351678251,1544,4,45.0,45
23.430739750761507,60.80931369395067,1545,4,45.0,45
23.428105743566068,60.81451387111883,1546,4,45.0,45
23.42547173637063,60.81971404828699,1547,4,45.0,45
23.42283772917519,60.82491422545515,1548,4,45.0,45
23.42020372197975,60.830114402623316,1549,4,45.0,45
23.41756971478431,60.83531457979148,1550,4,45.0,45
23.41493570758887,60.84051475695964,1551,4,45.0,45
23.41230170039343,60.845714934127805,1552,4,45.0,45
23.409667693197992,60.85091511129597,1553,4,45.0,45
23.407033686002553,60.85611528846413,1554,4,45.0,45
23.404399678807113,60.861315465632295,1555,4,45.0,45
23.40176567161167,60.86651564280046,1556,4,45.0,45
23.39913166441623,60.87171581996862,1557,4,45.0,45
23.39649765722079,60.87691599713678,1558,4,45.0,45
23.393863650025352,60.88211617430494,1559,4,45.0,45
23.391229642829913,60.8873163514731,1560,4,45.0,45
23.388595635634474,60.892516528641266,1561,4,45.0,45
23.385961628439034,60.89771670580943,1562,4,45.0,45
23.383327621243595,60.90291688297759,1563,4,45.0,45
23.380693614048155,60.908117060145756,1564,4,45.0,45
23.378059606852716,60.91331723731392,1565,4,45.0,45
23.375425599657277,60.91851741448208,1566,4,45.0,45
23.372791592461837,60.923717591650245,1567,4,45.0,45
23.370157585266398,60.92891776881841,1568,4,45.0,45
23.369694,60.929833,1440,5,0.0,45
23.35526375228992,60.934463784566304,1441,5,0.0,45
23.340833504579837,60.93909456913261,1442,5,0.0,45
23.326403256869757,60.94372535369891,1443,5,0.0,45
23.311973009159676,60.94835613826521,1444,5,0.0,45
